  x |   x(дв.) | pi(x) | pi(x)(дв.) |   f1  f2  f3  f4  f5  f6  f7  f8 |   c1  c2  c3  c4  c5  c6  c7  c8
---------------------------------------------------------------------------------------------------------
  0 | 00000000 |   252 |   11111100 |    1   1   1   1   1   1   0   0 |    1   1   1   1   1   1   0   0
  1 | 00000001 |   238 |   11101110 |    1   1   1   0   1   1   1   0 |    0   0   0   1   0   0   1   0
  2 | 00000010 |   221 |   11011101 |    1   1   0   1   1   1   0   1 |    0   0   1   0   0   0   0   1
  3 | 00000011 |    17 |   00010001 |    0   0   0   1   0   0   0   1 |    1   1   0   1   1   1   1   0
  4 | 00000100 |   207 |   11001111 |    1   1   0   0   1   1   1   1 |    0   0   1   1   0   0   1   1
  5 | 00000101 |   110 |   01101110 |    0   1   1   0   1   1   1   0 |    1   0   1   1   0   0   1   1
  6 | 00000110 |    49 |   00110001 |    0   0   1   1   0   0   0   1 |    1   1   0   1   1   1   1   1
  7 | 00000111 |    22 |   00010110 |    0   0   0   1   0   1   1   0 |    0   1   0   1   1   0   0   0
  8 | 00001000 |   251 |   11111011 |    1   1   1   1   1   0   1   1 |    0   0   0   0   0   1   1   1
  9 | 00001001 |   196 |   11000100 |    1   1   0   0   0   1   0   0 |    0   0   1   0   1   1   0   1
 10 | 00001010 |   250 |   11111010 |    1   1   1   1   1   0   1   0 |    0   0   1   0   0   0   0   0
 11 | 00001011 |   218 |   11011010 |    1   1   0   1   1   0   1   0 |    1   1   0   0   0   0   0   1
 12 | 00001100 |    35 |   00100011 |    0   0   1   0   0   0   1   1 |    1   1   1   0   1   0   1   1
 13 | 00001101 |   197 |   11000101 |    1   1   0   0   0   1   0   1 |    0   1   1   0   1   0   1   0
 14 | 00001110 |     4 |   00000100 |    0   0   0   0   0   1   0   0 |    1   1   1   1   1   0   0   1
 15 | 00001111 |    77 |   01001101 |    0   1   0   0   1   1   0   1 |    1   1   1   0   1   0   0   0
 16 | 00010000 |   233 |   11101001 |    1   1   1   0   1   0   0   1 |    0   0   0   1   0   1   0   1
 17 | 00010001 |   119 |   01110111 |    0   1   1   1   0   1   1   1 |    1   0   0   0   1   1   0   0
 18 | 00010010 |   240 |   11110000 |    1   1   1   1   0   0   0   0 |    0   0   1   1   1   0   0   0
 19 | 00010011 |   219 |   11011011 |    1   1   0   1   1   0   1   1 |    0   1   1   0   1   0   1   1
 20 | 00010100 |   147 |   10010011 |    1   0   0   1   0   0   1   1 |    0   1   0   0   1   0   0   1
 21 | 00010101 |    46 |   00101110 |    0   0   1   0   1   1   1   0 |    1   0   0   1   0   0   0   0
 22 | 00010110 |   153 |   10011001 |    1   0   0   1   1   0   0   1 |    1   1   0   0   1   1   0   0
 23 | 00010111 |   186 |   10111010 |    1   0   1   1   1   0   1   0 |    0   1   1   1   0   0   1   1
 24 | 00011000 |    23 |   00010111 |    0   0   0   1   0   1   1   1 |    1   1   1   1   1   0   0   1
 25 | 00011001 |    54 |   00110110 |    0   0   1   1   0   1   1   0 |    1   0   0   1   0   0   1   0
 26 | 00011010 |   241 |   11110001 |    1   1   1   1   0   0   0   1 |    1   1   0   1   1   1   1   1
 27 | 00011011 |   187 |   10111011 |    1   0   1   1   1   0   1   1 |    0   0   0   1   1   1   1   1
 28 | 00011100 |    20 |   00010100 |    0   0   0   1   0   1   0   0 |    1   0   0   1   0   0   1   0
 29 | 00011101 |   205 |   11001101 |    1   1   0   0   1   1   0   1 |    1   0   1   1   0   0   0   1
 30 | 00011110 |    95 |   01011111 |    0   1   0   1   1   1   1   1 |    0   1   0   0   0   1   1   1
 31 | 00011111 |   193 |   11000001 |    1   1   0   0   0   0   0   1 |    1   1   1   0   1   1   1   1
 32 | 00100000 |   249 |   11111001 |    1   1   1   1   1   0   0   1 |    0   0   0   0   0   1   0   1
 33 | 00100001 |    24 |   00011000 |    0   0   0   1   1   0   0   0 |    1   1   1   1   0   0   1   1
 34 | 00100010 |   101 |   01100101 |    0   1   1   0   0   1   0   1 |    1   0   1   1   1   1   0   1
 35 | 00100011 |    90 |   01011010 |    0   1   0   1   1   0   1   0 |    0   0   0   0   0   0   0   0
 36 | 00100100 |   226 |   11100010 |    1   1   1   0   0   0   1   0 |    0   0   1   0   1   0   0   0
 37 | 00100101 |    92 |   01011100 |    0   1   0   1   1   1   0   0 |    1   1   1   0   1   1   0   0
 38 | 00100110 |   239 |   11101111 |    1   1   1   0   1   1   1   1 |    0   1   0   0   1   1   1   0
 39 | 00100111 |    33 |   00100001 |    0   0   1   0   0   0   0   1 |    1   1   1   1   0   1   1   0
 40 | 00101000 |   129 |   10000001 |    1   0   0   0   0   0   0   1 |    0   1   1   1   1   1   1   1
 41 | 00101001 |    28 |   00011100 |    0   0   0   1   1   1   0   0 |    0   1   0   1   0   0   0   1
 42 | 00101010 |    60 |   00111100 |    0   0   1   1   1   1   0   0 |    0   0   0   0   0   0   0   1
 43 | 00101011 |    66 |   01000010 |    0   1   0   0   0   0   1   0 |    1   1   1   1   1   1   0   0
 44 | 00101100 |   139 |   10001011 |    1   0   0   0   1   0   1   1 |    1   1   1   1   1   0   1   0
 45 | 00101101 |     1 |   00000001 |    0   0   0   0   0   0   0   1 |    0   0   1   0   0   0   1   0
 46 | 00101110 |   142 |   10001110 |    1   0   0   0   1   1   1   0 |    1   1   0   1   0   0   0   0
 47 | 00101111 |    79 |   01001111 |    0   1   0   0   1   1   1   1 |    1   1   1   0   1   1   1   0
 48 | 00110000 |     5 |   00000101 |    0   0   0   0   0   1   0   1 |    1   1   1   0   1   0   0   1
 49 | 00110001 |   132 |   10000100 |    1   0   0   0   0   1   0   0 |    1   1   1   0   1   1   0   0
 50 | 00110010 |     2 |   00000010 |    0   0   0   0   0   0   1   0 |    1   0   1   0   0   0   1   1
 51 | 00110011 |   174 |   10101110 |    1   0   1   0   1   1   1   0 |    1   0   0   1   1   0   0   0
 52 | 00110100 |   227 |   11100011 |    1   1   1   0   0   0   1   1 |    1   0   1   1   0   1   0   0
 53 | 00110101 |   106 |   01101010 |    0   1   1   0   1   0   1   0 |    1   1   0   0   0   1   1   1
 54 | 00110110 |   143 |   10001111 |    1   0   0   0   1   1   1   1 |    0   0   1   1   0   1   1   0
 55 | 00110111 |   160 |   10100000 |    1   0   1   0   0   0   0   0 |    0   1   0   1   0   1   1   0
 56 | 00111000 |     6 |   00000110 |    0   0   0   0   0   1   1   0 |    1   0   0   0   0   0   1   0
 57 | 00111001 |    11 |   00001011 |    0   0   0   0   1   0   1   1 |    0   1   1   0   0   0   1   0
 58 | 00111010 |   237 |   11101101 |    1   1   1   0   1   1   0   1 |    0   0   0   1   0   0   1   0
 59 | 00111011 |   152 |   10011000 |    1   0   0   1   1   0   0   0 |    0   1   1   1   0   1   1   1
 60 | 00111100 |   127 |   01111111 |    0   1   1   1   1   1   1   1 |    0   0   0   1   1   1   0   0
 61 | 00111101 |   212 |   11010100 |    1   1   0   1   0   1   0   0 |    0   1   0   1   0   1   1   1
 62 | 00111110 |   211 |   11010011 |    1   1   0   1   0   0   1   1 |    0   1   0   0   0   0   1   0
 63 | 00111111 |    31 |   00011111 |    0   0   0   1   1   1   1   1 |    0   1   1   1   1   1   0   1
 64 | 01000000 |   235 |   11101011 |    1   1   1   0   1   0   1   1 |    0   0   0   1   0   1   1   1
 65 | 01000001 |    52 |   00110100 |    0   0   1   1   0   1   0   0 |    1   1   0   0   1   1   0   1
 66 | 01000010 |    44 |   00101100 |    0   0   1   0   1   1   0   0 |    1   1   1   0   0   1   1   0
 67 | 01000011 |    81 |   01010001 |    0   1   0   1   0   0   0   1 |    0   1   1   1   1   1   0   0
 68 | 01000100 |   234 |   11101010 |    1   1   1   0   1   0   1   0 |    0   0   1   1   0   0   1   0
 69 | 01000101 |   200 |   11001000 |    1   1   0   0   1   0   0   0 |    0   1   0   0   1   1   1   0
 70 | 01000110 |    72 |   01001000 |    0   1   0   0   1   0   0   0 |    1   0   1   1   1   0   1   0
 71 | 01000111 |   171 |   10101011 |    1   0   1   0   1   0   1   1 |    0   0   1   1   1   0   1   1
 72 | 01001000 |   242 |   11110010 |    1   1   1   1   0   0   1   0 |    0   0   0   1   1   1   1   0
 73 | 01001001 |    42 |   00101010 |    0   0   1   0   1   0   1   0 |    0   0   1   0   1   0   1   0
 74 | 01001010 |   104 |   01101000 |    0   1   1   0   1   0   0   0 |    0   1   1   1   1   1   0   1
 75 | 01001011 |   162 |   10100010 |    1   0   1   0   0   0   1   0 |    0   1   1   1   0   0   0   1
 76 | 01001100 |   253 |   11111101 |    1   1   1   1   1   1   0   1 |    1   1   1   0   0   1   0   1
 77 | 01001101 |    58 |   00111010 |    0   0   1   1   1   0   1   0 |    1   0   0   0   1   0   0   0
 78 | 01001110 |   206 |   11001110 |    1   1   0   0   1   1   1   0 |    0   0   1   1   0   1   0   1
 79 | 01001111 |   204 |   11001100 |    1   1   0   0   1   1   0   0 |    0   1   0   1   1   1   0   0
 80 | 01010000 |   181 |   10110101 |    1   0   1   1   0   1   0   1 |    0   1   0   0   1   0   1   1
 81 | 01010001 |   112 |   01110000 |    0   1   1   1   0   0   0   0 |    1   0   0   1   0   1   1   0
 82 | 01010010 |    14 |   00001110 |    0   0   0   0   1   1   1   0 |    0   1   0   0   0   1   0   0
 83 | 01010011 |    86 |   01010110 |    0   1   0   1   0   1   1   0 |    0   1   0   1   0   1   0   0
 84 | 01010100 |     8 |   00001000 |    0   0   0   0   1   0   0   0 |    1   1   1   1   0   1   0   1
 85 | 01010101 |    12 |   00001100 |    0   0   0   0   1   1   0   0 |    1   0   1   0   1   1   0   0
 86 | 01010110 |   118 |   01110110 |    0   1   1   1   0   1   1   0 |    0   1   1   0   1   1   0   0
 87 | 01010111 |    18 |   00010010 |    0   0   0   1   0   0   1   0 |    1   1   1   0   1   1   0   1
 88 | 01011000 |   191 |   10111111 |    1   0   1   1   1   1   1   1 |    1   1   1   0   1   0   1   0
 89 | 01011001 |   114 |   01110010 |    0   1   1   1   0   0   1   0 |    1   0   0   1   1   1   0   1
 90 | 01011010 |    19 |   00010011 |    0   0   0   1   0   0   1   1 |    1   0   0   1   0   1   0   1
 91 | 01011011 |    71 |   01000111 |    0   1   0   0   0   1   1   1 |    1   0   1   0   1   0   1   1
 92 | 01011100 |   156 |   10011100 |    1   0   0   1   1   1   0   0 |    0   0   0   0   0   0   1   0
 93 | 01011101 |   183 |   10110111 |    1   0   1   1   0   1   1   1 |    0   1   1   1   0   1   0   0
 94 | 01011110 |    93 |   01011101 |    0   1   0   1   1   1   0   1 |    0   0   1   0   0   0   1   1
 95 | 01011111 |   135 |   10000111 |    1   0   0   0   0   1   1   1 |    1   1   0   0   1   1   1   0
 96 | 01100000 |    21 |   00010101 |    0   0   0   1   0   1   0   1 |    1   1   1   1   1   0   1   1
 97 | 01100001 |   161 |   10100001 |    1   0   1   0   0   0   0   1 |    1   0   0   1   1   0   0   0
 98 | 01100010 |   150 |   10010110 |    1   0   0   1   0   1   1   0 |    1   1   1   1   1   0   0   1
 99 | 01100011 |    41 |   00101001 |    0   0   1   0   1   0   0   1 |    1   0   1   0   1   0   0   1
100 | 01100100 |    16 |   00010000 |    0   0   0   1   0   0   0   0 |    0   0   1   0   1   1   0   0
101 | 01100101 |   123 |   01111011 |    0   1   1   1   1   0   1   1 |    1   1   0   0   1   1   1   0
102 | 01100110 |   154 |   10011010 |    1   0   0   1   1   0   1   0 |    0   0   1   0   0   0   1   0
103 | 01100111 |   199 |   11000111 |    1   1   0   0   0   1   1   1 |    1   0   1   0   1   0   0   0
104 | 01101000 |   243 |   11110011 |    1   1   1   1   0   0   1   1 |    1   0   0   0   0   0   0   0
105 | 01101001 |   145 |   10010001 |    1   0   0   1   0   0   0   1 |    1   0   0   0   0   0   0   0
106 | 01101010 |   120 |   01111000 |    0   1   1   1   1   0   0   0 |    0   1   0   1   0   1   0   0
107 | 01101011 |   111 |   01101111 |    0   1   1   0   1   1   1   1 |    0   0   1   1   0   0   1   0
108 | 01101100 |   157 |   10011101 |    1   0   0   1   1   1   0   1 |    1   0   0   1   1   1   1   1
109 | 01101101 |   158 |   10011110 |    1   0   0   1   1   1   1   0 |    0   1   1   1   1   1   1   0
110 | 01101110 |   178 |   10110010 |    1   0   1   1   0   0   1   0 |    1   0   1   1   0   0   0   1
111 | 01101111 |   177 |   10110001 |    1   0   1   1   0   0   0   1 |    0   0   0   1   0   0   1   0
112 | 01110000 |    50 |   00110010 |    0   0   1   1   0   0   1   0 |    1   0   0   1   0   0   0   0
113 | 01110001 |   117 |   01110101 |    0   1   1   1   0   1   0   1 |    0   0   0   0   0   1   0   1
114 | 01110010 |    25 |   00011001 |    0   0   0   1   1   0   0   1 |    0   1   1   1   0   1   1   1
115 | 01110011 |    61 |   00111101 |    0   0   1   1   1   1   0   1 |    1   1   0   0   1   1   1   1
116 | 01110100 |   255 |   11111111 |    1   1   1   1   1   1   1   1 |    1   1   0   0   0   0   0   0
117 | 01110101 |    53 |   00110101 |    0   0   1   1   0   1   0   1 |    1   0   1   0   1   0   0   1
118 | 01110110 |   138 |   10001010 |    1   0   0   0   1   0   1   0 |    1   1   0   0   0   0   0   1
119 | 01110111 |   126 |   01111110 |    0   1   1   1   1   1   1   0 |    1   0   1   0   1   0   0   0
120 | 01111000 |   109 |   01101101 |    0   1   1   0   1   1   0   1 |    0   0   1   0   1   0   0   0
121 | 01111001 |    84 |   01010100 |    0   1   0   1   0   1   0   0 |    1   1   0   0   0   1   0   1
122 | 01111010 |   198 |   11000110 |    1   1   0   0   0   1   1   0 |    1   1   0   1   0   0   0   0
123 | 01111011 |   128 |   10000000 |    1   0   0   0   0   0   0   0 |    1   0   1   0   0   0   0   1
124 | 01111100 |   195 |   11000011 |    1   1   0   0   0   0   1   1 |    1   0   0   0   0   1   0   0
125 | 01111101 |   189 |   10111101 |    1   0   1   1   1   1   0   1 |    1   1   1   0   0   1   1   0
126 | 01111110 |    13 |   00001101 |    0   0   0   0   1   1   0   1 |    1   0   1   1   0   0   0   0
127 | 01111111 |    87 |   01010111 |    0   1   0   1   0   1   1   1 |    0   0   0   1   0   0   1   0
128 | 10000000 |   223 |   11011111 |    1   1   0   1   1   1   1   1 |    0   0   1   0   0   0   1   1
129 | 10000001 |   245 |   11110101 |    1   1   1   1   0   1   0   1 |    0   0   1   1   1   0   0   0
130 | 10000010 |    36 |   00100100 |    0   0   1   0   0   1   0   0 |    1   1   0   1   1   0   1   0
131 | 10000011 |   169 |   10101001 |    1   0   1   0   1   0   0   1 |    0   1   1   1   1   0   0   1
132 | 10000100 |    62 |   00111110 |    0   0   1   1   1   1   1   0 |    1   1   0   1   0   0   1   0
133 | 10000101 |   168 |   10101000 |    1   0   1   0   1   0   0   0 |    0   0   0   0   1   1   1   1
134 | 10000110 |    67 |   01000011 |    0   1   0   0   0   0   1   1 |    0   1   0   1   1   0   0   1
135 | 10000111 |   201 |   11001001 |    1   1   0   0   1   0   0   1 |    1   1   1   0   0   0   1   1
136 | 10001000 |   215 |   11010111 |    1   1   0   1   0   1   1   1 |    0   0   0   0   1   1   1   1
137 | 10001001 |   121 |   01111001 |    0   1   1   1   1   0   0   1 |    1   0   1   0   1   0   0   1
138 | 10001010 |   214 |   11010110 |    1   1   0   1   0   1   1   0 |    1   1   0   1   1   0   1   0
139 | 10001011 |   246 |   11110110 |    1   1   1   1   0   1   1   0 |    1   1   1   0   1   0   0   0
140 | 10001100 |   124 |   01111100 |    0   1   1   1   1   1   0   0 |    1   0   1   0   0   0   0   1
141 | 10001101 |    34 |   00100010 |    0   0   1   0   0   0   1   0 |    0   0   1   0   0   1   1   0
142 | 10001110 |   185 |   10111001 |    1   0   1   1   1   0   0   1 |    1   0   1   1   1   0   1   1
143 | 10001111 |     3 |   00000011 |    0   0   0   0   0   0   1   1 |    0   0   1   1   1   0   0   1
144 | 10010000 |   224 |   11100000 |    1   1   1   0   0   0   0   0 |    0   0   1   0   1   0   1   0
145 | 10010001 |    15 |   00001111 |    0   0   0   0   1   1   1   1 |    0   1   0   0   1   0   0   1
146 | 10010010 |   236 |   11101100 |    1   1   1   0   1   1   0   0 |    1   1   0   0   1   1   1   1
147 | 10010011 |   222 |   11011110 |    1   1   0   1   1   1   1   0 |    0   0   0   1   0   0   0   1
148 | 10010100 |   122 |   01111010 |    0   1   1   1   1   0   1   0 |    0   0   1   1   0   0   1   0
149 | 10010101 |   148 |   10010100 |    1   0   0   1   0   1   0   0 |    0   0   1   0   1   1   0   1
150 | 10010110 |   176 |   10110000 |    1   0   1   1   0   0   0   0 |    1   0   0   0   1   1   0   0
151 | 10010111 |   188 |   10111100 |    1   0   1   1   1   1   0   0 |    1   1   1   1   0   1   1   1
152 | 10011000 |   220 |   11011100 |    1   1   0   1   1   1   0   0 |    1   1   0   0   1   1   0   1
153 | 10011001 |   232 |   11101000 |    1   1   1   0   1   0   0   0 |    1   1   0   0   1   1   0   1
154 | 10011010 |    40 |   00101000 |    0   0   1   0   1   0   0   0 |    1   1   0   1   1   1   0   1
155 | 10011011 |    80 |   01010000 |    0   1   0   1   0   0   0   0 |    1   0   1   0   0   1   1   1
156 | 10011100 |    78 |   01001110 |    0   1   0   0   1   1   1   0 |    1   1   0   1   0   0   0   0
157 | 10011101 |    51 |   00110011 |    0   0   1   1   0   0   1   1 |    1   0   1   1   0   1   0   1
